Date,Low,Open,Volume,High,Close,Adjusted Close
07-04-1980,3.299999952316284,0.0,4000,3.5,3.299999952316284,3.017056941986084
02-05-1980,3.150000095367432,0.0,250,3.3499999046325684,3.150000095367432,2.879917860031128
06-05-1980,3.150000095367432,0.0,4500,3.3499999046325684,3.150000095367432,2.879917860031128
12-05-1980,3.25,0.0,8750,3.450000047683716,3.25,2.971344470977783
31-07-1980,4.099999904632568,0.0,14500,4.199999809265137,4.099999904632568,3.748464584350586
08-08-1980,4.099999904632568,0.0,10000,4.150000095367432,4.099999904632568,3.748464584350586
18-08-1980,4.050000190734863,0.0,2250,4.150000095367432,4.050000190734863,3.702751874923706
26-09-1980,4.900000095367432,0.0,3750,5.0,4.900000095367432,4.479872703552246
16-03-1981,4.849999904632568,4.849999904632568,0,4.849999904632568,4.849999904632568,4.4341583251953125
03-04-1981,5.300000190734863,0.0,15500,5.349999904632568,5.300000190734863,4.845576763153076
29-05-1981,6.300000190734863,0.0,10250,6.400000095367432,6.300000190734863,5.759835720062256
01-06-1981,6.5,0.0,36250,6.599999904632568,6.5,5.942688941955566
19-06-1981,6.449999809265137,0.0,2750,6.599999904632568,6.449999809265137,5.896975040435791
30-07-1981,4.849999904632568,0.0,3250,4.900000095367432,4.849999904632568,4.4341583251953125
19-08-1981,4.699999809265137,0.0,1750,4.75,4.699999809265137,4.297021389007568
28-08-1981,4.599999904632568,0.0,56500,4.699999809265137,4.599999904632568,4.205594539642334
13-10-1981,4.050000190734863,4.050000190734863,0,4.050000190734863,4.050000190734863,3.702751874923706
14-10-1981,3.849999904632568,0.0,10750,3.950000047683716,3.849999904632568,3.519899368286133
27-10-1981,3.900000095367432,0.0,12500,4.0,3.900000095367432,3.565613269805908
18-11-1981,4.150000095367432,0.0,9750,4.25,4.150000095367432,3.794177770614624
12-02-1982,4.25,0.0,3000,4.349999904632568,4.25,3.885603666305542
19-02-1982,4.300000190734863,0.0,2250,4.400000095367432,4.300000190734863,3.931317806243897
24-03-1982,4.199999809265137,0.0,2250,4.300000190734863,4.199999809265137,3.839890480041504
05-04-1982,4.25,0.0,7500,4.349999904632568,4.25,3.885603666305542
27-04-1982,4.25,0.0,12500,4.349999904632568,4.25,3.885603666305542
11-05-1982,4.199999809265137,0.0,4000,4.300000190734863,4.199999809265137,3.839890480041504
08-06-1982,4.300000190734863,4.300000190734863,0,4.300000190734863,4.300000190734863,3.931317806243897
07-07-1982,4.050000190734863,0.0,8500,4.099999904632568,4.050000190734863,3.702751874923706
21-07-1982,4.050000190734863,4.050000190734863,0,4.050000190734863,4.050000190734863,3.702751874923706
12-08-1982,4.050000190734863,4.050000190734863,0,4.050000190734863,4.050000190734863,3.702751874923706
05-11-1982,5.849999904632568,0.0,7250,5.949999809265137,5.849999904632568,5.348419189453125
12-11-1982,6.400000095367432,0.0,16750,6.5,6.400000095367432,5.851262092590332
14-12-1982,6.650000095367432,0.0,83000,6.75,6.650000095367432,6.079826831817627
22-12-1982,6.650000095367432,0.0,3000,6.75,6.650000095367432,6.079826831817627
01-03-1983,6.800000190734863,0.0,4000,6.949999809265137,6.800000190734863,6.216966152191162
25-03-1983,6.699999809265137,0.0,13000,6.800000190734863,6.699999809265137,6.125540256500244
08-04-1983,6.5,0.0,4500,6.650000095367432,6.5,5.942688941955566
09-05-1983,7.75,0.0,13000,7.849999904632568,7.75,7.085513591766357
12-07-1983,8.800000190734863,0.0,5750,8.899999618530273,8.800000190734863,8.04548454284668
27-07-1983,8.199999809265137,0.0,44250,8.300000190734863,8.199999809265137,7.496929168701172
04-08-1983,8.25,0.0,1250,8.399999618530273,8.25,7.5426435470581055
18-08-1983,8.100000381469727,0.0,1000,8.199999809265137,8.100000381469727,7.405503749847412
26-10-1983,5.699999809265137,0.0,1000,5.900000095367432,5.699999809265137,5.21127986907959
14-11-1983,6.199999809265137,0.0,2250,6.300000190734863,6.199999809265137,5.668410301208496
21-11-1983,6.5,0.0,250,6.699999809265137,6.5,5.942688941955566
29-11-1983,7.099999904632568,0.0,6250,7.300000190734863,7.099999904632568,6.491243839263916
20-12-1983,6.5,0.0,0,6.699999809265137,6.5,5.942688941955566
29-12-1983,6.400000095367432,0.0,1000,6.599999904632568,6.400000095367432,5.851262092590332
14-03-1984,5.599999904632568,0.0,1000,5.800000190734863,5.599999904632568,5.119853496551514
30-03-1984,5.5,0.0,7250,5.800000190734863,5.5,5.028428554534912
27-04-1984,6.099999904632568,0.0,750,6.300000190734863,6.099999904632568,5.57698392868042
18-05-1984,6.199999809265137,0.0,1500,6.300000190734863,6.199999809265137,5.668410301208496
